polarity,tweet
0,"@hedj But I'm not drunk now! I needed it last night, I was sounding a bit desperate I think "
0,and its done now i need to curl it omg i need someone to do this for me  then my make-up then get dressed then tidy up ... all befor one !
0,underworld will be down soon 
0,"@Rach_McCoyle : wicked, ill ring you after work &amp; we can arrange, i miss my best buddie  oh yes W&amp;C's all the way &lt;3"
0,I'm not dead despite rumours to the contrary. New job means very little online time in the office 
0,"@loisheilig That's understandable. Mine is in the summer, so I was never the birthday girl in school "
0,@browserd i wish i was  stranded near Famï¿½es
0,says ang tagal naman ng May 14  http://plurk.com/p/n1b4k
0,"@Malunis yea, it is getting annoying. "
0,yay lovely weather outside dudes 
0,am sad my sister and niece have gone away 
0,doing her english coursework..her fingers ache 
0,Nearly time for me to go home. The crew are filming JK being terrified of summat. Just had two spots of rain  #dwsr
0,@melanieleonard I don't want to be at work  LOL xx
0,am going to get hot blackcurrant cold drink  wish me luck...
0,has severe writers block 
0,they are saying on the radio that they've found that some fast food has a high level of saturated fat- why did nobody tell me 
0,"@DHughesy What made you say twitterers are witty as f###? I guess I'm not one of the witty ones, since I had to ask "
0,Lunchbreak......and I feel ill today..... 
0,"@edent There wasn't an &quot;if you actually read this, send us an email to win a prize&quot; clause in there "
0,Cant go back to sleep 
0,Yawn!! Just got up. Getting ready for school. 
0,"I love the nice weather, but since yesterday my allergies started acting up... "
0,My 4 year old son doesn't like The Smiths  &quot
0,of to the hospital for an x-ray 
0,Damp!!! I couldn't wear jeans cuz they were too wet so I had to wear regular sweat pants! I look terrible! Oh &amp
0,@anikainlondon yes! Thanks. I've just dropped my phone and the screen is smashed up 
0,@misswayward I can't see ur cakes bb  I will check later
0,@CreateSean A lot of swearing though 
0,just got home from school. had a long day in school today! 
0,getting ready for a 2nd day of Faith-based and Neighborhood Partnerships -  still happy re OK visit - although no Braums this time 
0,@Posh_Totty @nymphomaniac @boredwife Why can't i live near/work with lovely ladies like you?? 
0,@thecoveted Oooh! I love those earrings! Do you mind if I ask which craft store you went to? We don't have much up here unfortunately 
0,Lying in bed with a banging headache 
0,Brian Wenzel premature ejaculation ads making me ill.   
0,"@Stazjia True and, lo and behold, it just happened again "
0,wants twistori screensaver in desktop. 
0,I wanna go back to sleep 
0,why is it so cold? I need my paddington bear duffel coat 
0,Can't wait to get stuck in traffic tomorrow. Going to Manila for a meeting 
0,"@y2kprawn good luck with that, in Sligo it's raining really bad after a nice and sunny morning "
0,Off to KL tomorrow - not looking forward to the 5am start 
0,preparing quotes all day can be a tiring job 
0,Missed Music Monday 
0,"can't wake up, so exhausted "
0,is cracking on with her work....Ugghh  I am SO bored 
0,"i have a headache , runny nose , cold body even though covered with 2 thick blankets , &amp; a cup of cordial. horrible combo "
0,@SexyLexy54321 I dont wanna look like a clown!! lol I dont have yellow. 
0,no time for breakfast... 
0,Alcohol + Deadlines = 
0,Hurt my ankle working out this morning  ... but I've lost 18 lbs &amp
0,@hot30 Listening to your show as always. HOW COULD YOU PLAY HALF OF THE NEW GREENDAY SONG? &amp
0,Is anyone out there?  Of course not... it's 4:07am.  I have to go to work early tomorrow and I can't sleep 
0,"Great, PC fixed, CS4 installed, but now the wireless adapter doesnt work! Of to buy a new one.... "
0,432 views and no takers...   http://www.etsy.com/view_listing.php?listing_id=23241867
0,"@JonathanRKnight...I saw the show in Columbus, OH on 4/4...tried 2 go 2 cincinnati, OH 6/27, but it was sold out  U GUY WERE GREAT!!!!!!!!"
0,i lost my nintendo DS 
0,@srrrah417 And snow to go with it 
0,i hate cleaning 
0,"Hard to watch the Italian earthquake stuff, so many old buildings gone,hope these aftershocks stop soon "
0,"Am meant to be lunching with some colleages who are in a meeting. I've no idea when they'll be out, nor if they'll tell me when they are "
0,"Today I am attempting to write some dissertation. It's very dull, especially with the sun shining outside  xxxx"
0,@ilovedricoll ohhh stupid whore!! argh  well it is ok . . i love you
0,unfortunately I missed out on getting a photo with ZQ  Zarina Gen &amp
0,@SophieClaeys Like what? There's nothing to do 
0,didn't realise she still had iTunes credit! But thinks she'll get in trouble if she downloads stuff 
0,just missed one of the most important parties in my highschool life 
0,Grrr I Hate School Thank God It Is The Easter Holidays But Still I Have Homework 
0,Damn blasted colds 
0,I hate waking up early 
0,managed to fracture her vertebrae. yeh... hurts just a bit 
0,I think i sprained my pinky last night  Its swollen and its hurting. Aww man.
0,@browserd you dont want to know 
0,wants his hat back 
0,sitting in the school library passing time till I go home. It sucks when you start to not like your job because of your boss 
0,has no followers 
0,@IslandPete So the island won't be available before easter i hoped it would be an easter present for the players 
0,is missing the Portuguese sun already 
0,"Squashing bugs left and right, good thing they don't have legs ! Oh man, I'm resorting to developer-geek jokes.   sorry"
0,"Trying to sleep but not really, I don't feel tired at all and I'm just hungry "
0,here at working going through SNMP trap logs....2 more hours and I'm out of here...didn't get to study 
0,@honeybeess Me too girl  Thesis thesis.
0,feels a bit rough today  soooo can't wait for this long weekend
0,@lindsayevans Thanks for the link. it seems that Penguin Audiobooks don't allow sale outside US  so no search result here.
0,@foxiehaha haven't heard from her today 
0,Off for my morning run through cold-arsed Boston 
0,i am going to eat some milk and cookies then going to sleep ZZZzzz....zz Nite everyone. long day tomorrow starts in 3hrs. yikes! 
0,off to work today 
0,@dastevens - Yikes! Stay in bed and forget the weather. Hope you get to feeling better.  Poor you!
0,how I wished there were zune for mac... not liking to have to move to use windows for interacting with me player 
0,tonight i am staying at my dads and then i cant go 9on the computer!!! 
0,I hate the V plotarc on True Blood  that poor chubby vampire guy getting staked was so sad
0,hating this weather... had to brng back out my winter gear 
0,Stuck in traffic going home. And tank s nearly empty 
0,Raining again  should really get new umbrella
0,"Ugh, big migrane this morning "
0,OK Im off to bed again 
0,@ravogd a spider? can it be covered when im round? slight phobia 
0,@suzimuppet sorry  wish employers had decency to let ppl know either way but keep trying!
0,@lizsong @amyseeley sounds like we all had the same day   here we are in a new one!  let's all cross our fingers.....
0,snowing again 
0,@Spike1506 lol i know 
0,"@Printenbaby Darling i miss you  We have to watch Jurassic Park, because you got the job ;) u know? xD"
0,"The weather is getting cooler, goodbye summer "
0,Getting my new bed today!! Yay!  Can't wait to sleep level again.  Just gotta move a bunch of stuff out of the way of the delivery guys 
0,was going to clean my car but apparently it's guna rain 
0,@Posh_Totty Because there is no one flashing their knickers &amp
0,"Worst combination ever: 2 cups of Coffee, vitamin pill, cereal and milk. "
0,Still very upset but strong
0,"Im up and awake finally, dont wanna b tho  xx"
0,flo the dog has had all her hair cut off  she's bald!
0,@eolai Tea is lovely - accidentally used two bags.  Blocking dog's hole involves lots of brambles. 
0,@Schofe are you and fern going to be on together soon? i miss your banter 
0,sickk   in class essay tomorrow last day of school on thurs woooohhh
0,getting ready for work 
0,It's snowing in April? I'll never get to go out and run around 
0,"@MarissaTree - ooohh i envy you, right there!!! "
0,@SalocinTEN: The same problem? I can't believe it! 
0,No Red Sox opening game for me.  Conflicts will prevent me from going to the rescheduled game.
0,@ExMi So sorry to hear you did not find your dog yet 
0,at the hospital getting my friend put in 
0,being ill on the sofa feeling very sorry for myself 
0,"@tedi31 no, you can't  it's an autorefresh of I think the past 48 hours only."
0,What?? Joe tweeted? What is his id? I am on the road I cant check 
0,is at home today...not very well again 
0,"is not having a good time, 2 cases of cluster headaches already this morning!  #fb"
0,not going to makke it to boling today  got no money!
0,just saw a bunch of dead pigeons on the grass. I am now a horrid mixture of sadness and disgust. 
0,"I plan on watching the Fast and the Furious later, but now I should really do some work "
0,at work and I'm tired even though I went to bed early 
0,exploring the world of twitter... going to town in a bit. don't want to. 
0,"@mmauran ahh, i don't know! i'm not escaping, but really, i dn't know.  for me, its an undefinable thingie... dsn't hv to hv a definition"
0,http://twitpic.com/2y9xm - this shit ball didn't come down 
0,Rickey Smiley is okay but I really miss the Big Phat morning show 
0,Dreading school today and tomorrow. Im going to get in sooo much trouble one of the two days. 
0,my fingers ache  they feel like they have arthritis
0,@Majestic76 hour just to check if Jon had twittered. Have a major headache fr such disruptive sleep pattern. 
0,My rattie is still sick has pneumonia n a tumor  im really run down n depressed n havin a fibro day.
0,@Chaddah I do too and my back is stiff 
0,Omg its raining 
0,Not very happy because my laptop decided to delete all my music 
0,had a lot of trouble sleeping last night. went to bed early and still had to sleep in an extra hour. grr 
0,"@sonaljhuj Yes, it is. Or maybe half of my subscribers left  - Again."
0,@Sami_ontwit pissed off and hungry with no where to go and nothing to eat! 
0,"Google, I love you, but I am having the utmost difficulties sorting out my accounts. I'm sure it's my fault, but just letting you know... "
0,"@ashleeadams if someone left a phone at my work i wouldn't go through it but its sad you can't hope for the same in everyone, hey "
0,Might go sit on the swing and do some revision later. I want to go on holiday 
0,@gemsmaquillage myn should of been here today but it didnt turn up  hope its here 2moz !! x
0,is having some sort of mind blank 
0,Oops. This stop was not calculated. Still in Tennesse 
0,"@emmabush Well, I didn't mention the stale Peeps. "
0,"@MarinaSg I KNOW, MAR!! I saw it in my updates!!  I don't understand.. are they changing again?"
0,"i miss cristï¿½bal, renata, alysson, lucas, mohamed.. oh, i wish i could see my friends and my almost-not-boyfriend everyday "
0,@lisiepeasie I'm supposed to be the one who falls in love with cute French ladies. 
0,wonders how how how !   http://plurk.com/p/n1czp
0,@kristinabitch I can't believe she's going to be gone in less than 24 hours. I'm going to miss her. 
0,is going to have to grab Heroes tomorrow 
0,no bloody poptarts at the co-op. i hate random cravings 
0,Ugh  no school pleaseeeee &lt
0,has neglected Twitter of late  I'm sorry twitter *snifs*
0,@fudgecrumpet You'll be there one day. 
0,Well twiter dont work with O2!! just with vodaphone 
0,@Zanna85 i don't like that day 
0,Is sick...half price sushi from Kumo did not agree with me.  
0,"@holyschmoke aw don't remind me, I love this time of year cos there is so much rugby on but it also means the end of the season is nigh "
0,Off to The lumberyard  
0,thinks the numbing is getting worse!! and fillings are much worse than I remember... does anyone want 7 easter eggs???!  xx
0,I'm pretty sure I have a small cold...ugh baby germs 
0,starting a short lunch break. must be short. my paper is not as far as it was planned to be at this time of day 
0,"waiting to go back to my cold, lonely student room !  booo."
0,@iamjonathancook have fun tonight. I wish i could gooooo 
0,@weirdchina I hope you realize that your website is blocked by China.. I live in Wuhan and have to proxy in to your site 
0,@j_e_p  me too 
0,http://twitpic.com/2ya1c - Good F'in Morning  Springtime my ass. Global warming?! Suck it!
0,@mileycyrus Aww  Chin up hun! You can do it 
0,CBI is Congress Bureau of Investigation. ...Ita a BIG RED QUESTION MARK on the capability of Indian Judiciary System... 
0,My Lumiquest Softbox III arrived! But all the batteries in my SB-800 are dead 
0,Thinks!!!!!! i should have rented wheelman 
0,Off to the office again today - going to be a BUSY day  So many things to do.
0,"Eating one of the kids' Easter Eggs  Oh dear, I have no will power ......"
0,my cat died last january- he was one of my best friends 
0,Oh and forgot to mention. I have no voice. 
0,@miafreedman I'm loving Harem pants at the moment! Seriously! But not the ones with a crutch to the knee! Ewwww 
0,is soo bored and  i just wanna go out and have some fun but thandis at some gay thing all day 
0,@ollyog I really am jealous 
0,okay off to do some job hunting.. can you believe a small gaming comp told me I was over qualified with experience &gt
0,Saracens losing Andy Farrell to retirement 
0,bad dayy 
0,is gutted my M.AC myth Lipstick broke after 1 use 
0,@JodieWanKenobie Oh yer btw before i go i direct messaged you  not good news im afraid :'(
0,@degrafik The one thing I have learnt is that Sinusitis is a pain in the nose! 
0,I might have to stop following that particular celeb its ruining my liking of him 
0,Yea!!! Calgary won last night!!!!  poor Montreal lost to Ottawa though 
0,@kristinabitch I can't believe shes going to be gone in less than 24 hours. I'm going to miss her so much. 
0,"I'm feeling ecstatic!! I met James Matthews and Josh Wilkinson and got James Towel xD, maan my ears are still ringing and my throat hurts "
0,@invokedprojects @kennymeyers There was a post about it. Playcode was Victor who had been previously banned 
0,@mileycyrus god we have a blizzard here 
0,@Lady_Twitster not really. 
0,ugh todays going to be so bad 
0,"Great, it just started to rain "
0,So tired of crying... 
0,@ABIBAN ohnoes  what's up bansal?
0,my trainer calls ... I have to go to sport 
0,"@thatswhack74 aww, thank you so much! i want to see it too "
0,MAKE IT STOP  fu headache and cold why the hell do you come at such wrong times.
0,"bahah, two days before my birthday, i'll be in the shittest mood ever! D: beware of seb on the 28th of April "
0,@Nathaniel_3 well im someone's bitch. I cant say no cause i feel guilty. Even though i hate it. And my arms are sore from moving fixtures 
0,So far not much going on today.  We will have to wait and see what today brings I guess.  Another yucky day out though. 
0,"omg i slept 2 hours, this sucks. now i'm off to school until 5:30  then i have to memorize my french oral and study for exams :'( too much"
0,Up early and off to work till 6:30pm. 
0,Bleh late for work 
0,is wondering if she smells? Why else would her two best friends in the world leave her 
0,Just woke up. I need more sleep. Funeral at 12 
0,Just got a call from the s2bx: my little one is sick and wants to stay home today. 
0,@Britta_04 nawww love dont be like that 
0,Yeah... Can't do this... But gotta find a way to just be okay. Buttercup can't cheer up 
0,@andrea_space we have snow still 
0,chicken on my sarnies makes me sick. why oh why?  ill have to get a heinz BIG soup later on
0,jquery is bringing me down 
0,"I was gonna go dig up some stumps yesterday, then it snowed! after a month of 50 degree temps, it's back to 30s and snow! "
0,@NineBlackAlps Yeah I was looking all day yesterday for it. 
0,need to do some work. 
0,no eyeliner. i feel naked. leaving the flat now to get to the shops for my mum. and i might text my boyfriend. i miss him 
0,i'm working 
0,It's too nice to go to work 
0,doesnt want to wake up at 5am for work  not cool
0,"@cottoncandizzle Ur SO right.. I wish I was in NYC, too.. Or Los Angeles.. Las Vegas.. Awww &lt;/3 "
0,okay wow apparently my bus already went by. now i have to walk like two miles to my school 
0,"back at work, haven't even managed to get through the new emails in my inbox yet "
0,is well bored and has to wait for 3 hours to start getting ready 
0,"My internet is being painfully slow, it hurts "
0,It's so cold this morning! Not even 40 degress today. I'm wearing 3 layers and still shaking. Brrrr.... 
0,the 15 min nap at my desk din help 
0,@sausagesmcgee  sorry to hear your cat died.  That's always shit.  I miss mine immensely (he's in the UK still) 
0,"@Ailsa_Brown lol. Only 4 more episodes in the season, too... "
0,Shame processing pics isn't as much fun as actually taking them  .
0,"just woken up, finally got to sleep last night, alone, on the couch  watching one tree hill eating cheese and crackers!"
0,"@plastikgyrl Gah, of course. HUGE mess. "
0,"@Darnell hmm, still a nogo. Up here in Canada we're pretty restricted to what tv we can watch online because of copyright laws. "
0,Taling the train in sigh 
0,wishes she was talking to Joey right now... hes the only one that seems to be able to cheer her up lately 
0,@poidge ul man 
0,@mubix but they don't care of the implications of that information. Frankly too few care about sec when lives are at stake 
0,"I'm trying not to do anything today as I probably have the flu, but still have mtg with my adviser, career fair, chem quiz, &amp; group mtg! "
0,"Wow, certainly are a lot of magazines closing down. "
0,"Just booked a dentist appointment, what joy "
0,Ugh. I didn't really finish my CS  I turned it in as is. I will be able to do better now though. Less distractions. lol
0,I really hope I don't die before I get to meet Prince.. Seriously.. I will be a sad corpse.. 
0,"@allaboutenergy Do you happen to have this song in your collection? http://www.amazon.com/I-Am/dp/B001CQ6578   I cannot buy it, USA only "
0,@Lady_Twitster Only managed two this morning. Bit depressing really. 
0,@mikeboyd  anyway if they go... i hope there will be a caffine replacement in that area 
0,@Tracy_R Evil!! I have a prawn salad 
0,"@kristenkreuk Hey Kristen, thought ur work on Smallville was awesome, havnt seen SF (not released in Aus yet)  Any new projects coming up?"
0,just woke up...its cloudy in the virgin islands  only two more days here til i have to go back to seattle
0,@head_bigg The mad marathon of Gears 2 sessions has done my Xbox in LOL! RROD last night 
0,@scrumptious1 haha i know! i missed the series premier of greek too! 
0,@sannewielenga I want/need them here too 
0,ugh.  i wish someone would make a dA script to make it easier to remove people from your devwatch   what a ballache!
0,Noooooo the orioles beat the Yankees 10-5  need to get to bmore to see derek jeter!!!!
0,"@foxiehaha I wish, going for a blood test tomorrow am not well unfortunatly "
0,tweetdeck seems to have died on me  Need to find a reliable twitter platform. Any ideas?
0,@tinkissarah Have fun!!  Am off to do some cleaning at the bungalow 
0,"picture, check... cell phone approved, check... now I just have to figure out how to get followers  it's lonely in here"
0,it is way to cold this morning... i dont wanna get out of bed... but i have to 
0,"Once again in the library working on yep, you guessed it my filiocht bhï¿½il essay! I feel i have been banished to this awful place forever "
0,@rach210 mhmm coles deli i hear we are getting feral brown shirts soon indetad of our lovely blue 
0,"@Frostee Sweetheart, he's from Russia...  I think you're stuck with the snow.  "
0,"Sun and Dï¿½ner, what a great lunch break. But now it's project time again  Upcoming meeting: Masterplan - sounds important BUT IS  ..."
0,My &quot
0,Just had lunch and now its back to the grinding stone... Wish I could be at KKNK 
0,@mileycyrus GOOD LUCK! i wish i could be thereee 
0,"Just woke up, god I feel lazy. Shower time then off 2 the bank before work at 11 "
0,"a pic, and the darn thing flew off before I could.  I can never get those close up shots like in &quot;Birds and Blooms&quot; "
0,If today wasn't shit enough I just ate a mouldy roll 
0,Too much booze talk... making me miss it a lot 
0,I hate  dual carriageway roundabouts. So much. 
0,Going to The Works later for another &quot
0,"@louizah just watched the repeat of Zain challenge...smart kids!! i feel so blonde  What day &amp; time does the show air in TZ, anyone?"
0,At the school for the disttict track meet. I don't wanna go 
0,Have to wait 45 minutes for the next bus home  I need my own car so bad...
0,can't get TwitterBerry to work 
0,"Wondering where I can find the last ep of Old Harrys Game... the R4 website redesign is pretty, but not helping me atm "
0,i wish i could go see day 26 today  i hate suite 98 they tease all the 20 y/o's ugh!!!!
0,"@beckamcmaster general cleaning, very dull "
0,no one wants to ring me  lol kidding im hunting for zombies not witches (Y)
0,Wicked was mentioned on This morning - I heard it all the way from upstairs - Alexia Khadime is coming back in May and Kerry is leaving 
0,"@nice_n_tidy Sod the rats, it's the squirrels round our way "
0,"@Lairosiel oh no, I hope he's ok "
0,i'm starting to get really fed up with this now. she doesn't like you! just realise that already and come back to me 
0,"Aah, freshly showered and shaved, just wish I was  outside in the sun rather than stuck on the laptop working! "
0,@seishinseii Tell me about it! Hence why I hate stupid stickers. 
0,@AAS No it's definitely not working for me.. 
0,I need a hangover cure 
0,"@garkbit No idea how that thing works - I put my own ID in there and it recalculated with me in 10th place, didn't see you though "
0,"@paulfisher Have sent you an e-mail but not sure if working as haven't received anything all day     Or, I'm just unpopular!"
